CleanTown USA," Allison Park, Pennsylvania","With energy conservation and minimal maintenance as one of the client’s top priorities, RSSC used concrete masonry, metal siding and glass paneled overhead doors to create the building’s exterior. Large continuous skylights provide natural light to reduce energy consumption and costs, while a hi-tech water reclamation system reduces the amount of fresh water consumed to one-fifth of the amount of a typical automated car wash."
Park Classic Diner," Monroeville, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
Carmeuse North American Headquarters," Pittsburgh, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
Western Pennsylvania Humane Society," Pittsburgh, Pennsylvania","The carefully planned layout separates public from private areas, yet allows visitors, staff and volunteers to maneuver the 24,000 square-foot facility with ease. The holding kennel and cattery allows staff to provide medical care, socialization and training to animals prior to being moved into the adoption area. Furthering their “Open Door” mission, the expanded animal clinic provides low-cost outpatient care, routine examinations and vaccinations for the community, while the Education Department features a 3,000 square-foot training room."
Cranberry Township Municipal & Public Safety Center," Cranberry Township, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
Pittsburgh Veterinary Specialty & Emergency Center," Washington, Pennsylvania","The newly built PVSEC-South Veterinary facility required a sophisticated design and layout to encompass all of the specialty patient needs in one center. Because the client required a facility where physicians share spaces, logical flow patterns were designed to create streamlined mobility for multiple specialists tending to various patients. These flow patterns promote organization and order among the doctors and guests, including public and private entrances, and separate check-in-and-out areas for pet owners and pets. Complex heating, cooling, and ventilation systems were installed to provide an environment without the threat of cross contamination. Additionally, the strategic use of natural light helps conserve energy and provides guest with a warm, inviting atmosphere."
City Mission," Washington, Pennsylvania","Committed to our client, we wanted to help them rebuild and continue to provide their important and often life changing services, so we assisted the City Mission with the necessary paperwork to apply for a Federal Home Loan Bank grant. With our assistance and the help of others, City Mission received a $1.5 million grant to assist with their rebuilding process."
McCandless History Center," McCandless Township, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
First Presbyterian Church of Beaver," Beaver, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
The Salvation Army – Pittsburgh Temple Corps," Mt. Lebanon, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
St. Ferdinand Parish," Cranberry Township, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
Yerecic Label Company," New Kensington, Pennsylvania","RSSC Architecture’s design took advantage of the building’s site and orientation. With a direct view from the road, the 6,800 square-foot brick office building and front plaza with sign wall provide maximum exposure. With a direct view from the administrative area, staff members can see the beautiful nearby pond. Beyond the brick office area, a pre-engineered structure was constructed to create an open-floor production facility that could be expanded in the future. Once implemented, the design provided Yerecic Label Company with their goal of growing their business. They approached RSSC Architecture for a second time: To expand their manufacturing facility, becoming a repeat client."
Bobby Rahal Mercedes-Benz," Wexford, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
Wexford Vol. Fire Company," Wexford, Pennsylvania","The facility has a training tower for hands-on, real life scenario exercises that includes a functional standpipe, an area for repelling and confined space entry. Another important safety and efficiency feature is the use of bi-fold garage doors and drive through truck bays that decrease response times and provide easier flow of the equipment and vehicles when the fire engines and trucks return to station."
Cranberry Township VFC & EMS," Cranberry Township, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
Baierl Ford," Zelienople, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
Sampson Family YMCA," Plum Borough, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
St. Catherine of Sweden," Wildwood, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
Christ Church Fox Chapel," Fox Chapel, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
Charter Oak United Methodist Church," Greensburg, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
Greenville Area Library," Greenville, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
Pennsylvania State Police Jonestown," Jonestown, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
Avonworth Community Park," Emsworth, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
title,location,description
Lauri Ann West Community Center," O’Hara Township, Pennsylvania",T
Holy Family Parish," Latrobe, Pennsylvania",T
Camp Kon-O-Kwee Spencer," Fombell, Pennsylvania",<Element img at 0x84bbec00e8>
Clayton Community Youth Center," Allison Park, Pennsylvania",<Element img at 0x84bba156d8>
Impact Church & The Landing Community Center," Moon Township, Pennsylvania",I
Baierl Kia," Wexford, Pennsylvania",F
Three Rivers Rowing Association," Millvale, Pennsylvania",N
Monroeville Municipal Center/911 & Police Facility," Monroeville, Pennsylvania",T
Golden Triangle Construction," Imperial, Pennsylvania",B
200 North Meadows Office Building," Wexford, Pennsylvania",<Element img at 0x84bbec0f98>
Holy Sepulcher Parish," Middlesex Township, Pennsylvania",T
Peters Township Library," McMurray, Pennsylvania",<Element img at 0x84bba2abd8>
The Firepit Wood Fired Grill," North Huntingdon Township, Pennsylvania",R
Park Classic Diner," Monroeville, Pennsylvania",<Element img at 0x84bbef02c8>
CleanTown USA," Allison Park, Pennsylvania",C
Carmeuse North American Headquarters," Pittsburgh, Pennsylvania",<Element img at 0x84bbe8fae8>
Karndean Designflooring," Export, Pennsylvania",S
Baierl Family YMCA – North Hills Branch," Franklin Park, Pennsylvania",T
Western Pennsylvania Humane Society," Pittsburgh, Pennsylvania",H
Cranberry Township Municipal & Public Safety Center," Cranberry Township, Pennsylvania",<Element img at 0x84bbec0f98>
City Mission," Washington, Pennsylvania",R
First Presbyterian Church of Beaver," Beaver, Pennsylvania",<Element img at 0x84bba2a9f8>
Yerecic Label Company," New Kensington, Pennsylvania",T
Pittsburgh Veterinary Specialty & Emergency Center," Washington, Pennsylvania",T
McCandless History Center," McCandless Township, Pennsylvania",<Element img at 0x84bbee5188>
St. Ferdinand Parish," Cranberry Township, Pennsylvania",<Element img at 0x84bb9f5868>
Sampson Family YMCA," Plum Borough, Pennsylvania",<Element img at 0x84bbc74868>
The Salvation Army – Pittsburgh Temple Corps," Mt. Lebanon, Pennsylvania",<Element img at 0x84bbe8f188>
Bobby Rahal Mercedes-Benz," Wexford, Pennsylvania",<Element img at 0x84bbea8188>
Christ Church Fox Chapel," Fox Chapel, Pennsylvania",<Element img at 0x84bba2a598>
St. Catherine of Sweden," Wildwood, Pennsylvania",<Element img at 0x84bb9f5868>
Charter Oak United Methodist Church," Greensburg, Pennsylvania",<Element img at 0x84bbec0368>
Baierl Ford," Zelienople, Pennsylvania",<Element img at 0x84bb9f5868>
Greenville Area Library," Greenville, Pennsylvania",<Element img at 0x84bbef04f8>
Wexford Vol. Fire Company," Wexford, Pennsylvania",W
Pennsylvania State Police Jonestown," Jonestown, Pennsylvania",<Element img at 0x84bb9f5868>
Cranberry Township VFC & EMS," Cranberry Township, Pennsylvania",<Element img at 0x84bba2a778>
Avonworth Community Park," Emsworth, Pennsylvania",<Element img at 0x84bbef0688>
